id_venta,fecha,año,mes,dia_semana,semana_numero,producto,categoria,cantidad,precio_unitario,descuento,monto_total,costo_unitario,margen_beneficio,estado,ciudad,region,metodo_pago,canal_venta,cliente_id,categoria_cliente,cliente_antiguedad_dias,vendedor_id,vendedor_experiencia_meses,promocion_aplicada,cupon_usado,puntuacion_cliente,tiempo_entrega_dias,fecha_registro_cliente,acumulado_mes_producto,ranking_ciudad_mes
31,2024-10-23,2024,10,Wednesday,43,Monitor,Electrónica,62,426,40,15847.199999999999,,,Cancelado,Barcelona,Noreste,Transferencia,App,CLI1404,Nuevo,256,Miguel,48,Sin promoción,False,-1,11,2024-02-10,15847.199999999999,1
32,04-25-2024,2024,4,Thursday,17,,Electrónica,97,$1451.99,50,70421.515,781.8,,,Sevilla,Sur,,Tienda física,CLI2759,,252,Ana,36,Primavera,Sí,3,4,2023-08-17,70421.515,1
33,2024-06-28,2024,6,Friday,26,Disco Duro,Accesorios,58,60,17,2888.3999999999996,35.76,40.4,,Barcelona,Noreste,PayPal,Tienda física,CLI5201,Inactivo,95,Ana,36,Primavera,,2,13,2024-03-25,5776.799999999999,1
34,2024-05-26,2024,5,Sunday,21,,Accesorios,73,64,-10,5139.20€,40.61,36.55,Cancelado,,,Efectivo,App,CLI1234,,69,Sofia,6,BlackFriday,True,5,6,2024-03-18,error_acumulado,
35,2023-08-24,2023,8,Thursday,34,Laptop,Almacenamiento,76,898,5,64835.6,579.4,35.48,Envío,Barcelona,Noreste,,App,CLI8322,Inactivo,335,Laura,24,Verano,,3,9,2022-09-23,64835.6,1
36,2023-07-25,2023,7,Tuesday,30,RAM,Electrónica,-9,1030,9,-8435.7,468.75,54.49,Cancelado,Barcelona,Noreste,Tarjeta,App,CLI6486,VIP,313,Laura,24,Sin promoción,No,4,14,2022-09-15,error_acumulado,
37,2023-05-03,2023,5,Wednesday,18,Impresora,Electrónica,16,1165,45,10252.0,534.44,54.13,Envío,Barcelona,Noreste,,Tienda física,CLI2007,Inactivo,105,Miguel,-48,Verano,False,4,6,2023-01-18,10252.0,1
38,2023-10-08,2023,10,Sunday,40,Laptop,Almacenamiento,41,818,2,32867.24,338.77,-58.58557457212714,Pendiente,Sevilla,Sur,PayPal,Web,CLI6601,Inactivo,236,Carlos,12,Sin promoción,No,3,-4,2023-02-14,32867.24,1
39,2024-03-27,2024,3,Wednesday,13,Laptop,,43,98,67,-1390.62,52.21,46.72,Pendiente,,,Transferencia,App,CLI5710,Inactivo,193,Carlos,12,,True,4,6,2023-09-16,error_acumulado,
16164,09/05/2023,2023,5,Tuesday,19,Disco Duro,Accesorios,,$310.99,21,0.0,134.58,,,Valencia,Este,Transferencia,,CLI4877,Nuevo,257,Laura,24,Primavera,False,1,15,2022-08-25,error_acumulado,
41,2024-01-12,2024,1,Friday,2,RAM,Electrónica,94,793,40,44725.2,374.64,52.76,Pendiente,,,Transferencia,Web,CLI2197,Regular,85,Carlos,12,BlackFriday,True,1,15,2023-10-19,44725.2,1
42,08-23-2024,2024,8,Friday,34,USB,,48,"868,99",55,18770.184,353.55,,,Madrid,Centro,Tarjeta,Tienda física,CLI2379,Nuevo,309,Sofia,6,Verano,inválido,3,8,2023-10-19,18770.184,1
43,2024-09-04,2024,9,Wednesday,36,USB,Periféricos,32,1088,7,32378.879999999997,455.79,58.11,Pendiente,,,Efectivo,App,CLI5243,Nuevo,58,Ana,36,BlackFriday,,5,12,2024-07-08,32378.879999999997,1
44,2024-02-20,2024,2,Tuesday,8,RAM,Almacenamiento,1.1277019386512983,1140,14,1105.598980653733,571.4,49.88,Completado,Barcelona,Noreste,Efectivo,Marketplace,CLI9680,,153,Ana,36,,False,5,13,2023-09-20,2211.197961307466,1
45,2024-06-26,2024,6,Wednesday,26,Impresora,Electrónica,83,1355,2,110215.7,776.53,42.69,,Sevilla,Sur,PayPal,Marketplace,CLI8010,VIP,248,,,Primavera,,2,12,fecha_invalida,110215.7,1
46,2023-02-11,2023,2,Saturday,6,Laptop,Periféricos,27,1107,39,18232.29,749.1982964009705,32.32,Pendiente,Bilbao,Norte,,Web,CLI9193,VIP,201,Sofia,6,Primavera,False,5,2,2022-07-25,18232.29,1
47,2023-12-23,2023,12,Saturday,51,Webcam,Accesorios,17,1068,33,12164.519999999999,629.81,41.03,Cancelado,Barcelona,Noreste,Transferencia,,CLI6622,Regular,334,Carlos,12,BlackFriday,,5,6,2023-01-23,104481.36,1
48,2023-12-21,2023,12,Thursday,51,Mouse,,-8,$433.99,2,-3402.4816,180.07,,,Madrid,Centro,,Tienda física,CLI8867,Nuevo,140,Laura,24,,False,1,13,2023-08-03,error_acumulado,
49,2023-07-27,2023,7,Thursday,30,Monitor,Almacenamiento,12,1442,52,8305.92,908.23,37.02,Cancelado,Barcelona,Noreste,,Tienda física,CLI6032,,77,Sofia,6,Sin promoción,True,1,1,2023-05-11,8305.92,1
50,14/12/2023,2023,12,Thursday,50,Webcam,,63,495,43,17775.45,294.18,40.57,Cancelado,Valencia,Este,,Web,CLI2415,VIP,80,Sofia,6,CyberMonday,Sí,1,2,2023-09-25,122256.81,2
51,2023-04-21,2023,4,Friday,16,RAM,Almacenamiento,32,1104,-6,37447.68,645.1,41.57,,Bilbao,Norte,Efectivo,Web,CLI1545,Nuevo,283,Ana,36,Verano,False,2,14,2022-07-12,37447.68,1
52,03-28-2024,2024,3,Thursday,13,Disco Duro,,22,670,32,-10023.199999999999,282.52,57.83,Pendiente,Barcelona,Noreste,Efectivo,App,,Regular,305,Laura,24,,Sí,2,1,2023-05-28,error_acumulado,
53,2024-06-13,2024,6,Thursday,24,Impresora,Almacenamiento,46,1277,64,21147.12,594.1,53.48,Pendiente,Barcelona,Noreste,,,CLI8675,Inactivo,171,Carlos,12,BlackFriday,No,5,8,2023-12-25,131362.82,1
54,2023-10-13,2023,10,Friday,41,Laptop,Electrónica,7 unidades,343,0,,190.62,44.43,,,,Tarjeta,Web,CLI4916,Regular,87,,,BlackFriday,Sí,1,14,2023-07-18,error_acumulado,
55,2024-05-24,2024,5,Friday,21,Mouse,Electrónica,37,737,21,21542.510000000002,414.7,43.73,Envío,V@lenci@,Este,,,CLI6768,,226,,,Primavera,False,3,2,2023-10-11,43085.020000000004,1
56,2023-08-11,2023,8,Friday,32,Monitor,Accesorios,14,$152.99,156,-1199.4416,103.24,,Cancelado,Barcelona,Noreste,Tarjeta,App,CLI3910,Nuevo,82,Carlos,12,Verano,No,5,11,2023-05-21,error_acumulado,
57,2023-09-25,2023,9,Monday,39,RAM,Electrónica,31,209,31,4470.509999999999,104.22,-50.13397129186603,Envío,Valencia,Este,Efectivo,App,CLI3199,Nuevo,224,Laura,24,Sin promoción,Sí,3,-6,2023-02-13,4470.509999999999,1
58,2024-12-31,2024,12,Tuesday,1,USB,Accesorios,40,1046,17,34727.2,443.5,57.6,Pendiente,Barcelona,Noreste,PayPal,Marketplace,CLI1662,Regular,181,Miguel,48,CyberMonday,Sí,4,6,2024-07-03,0,2
59,2023-12-19,2023,12,Tuesday,51,Mouse,Accesorios,64,966,41,36476.16,585.41,39.4,Cancelado,Bilbao,Norte,,Tienda física,CLI6283,Nuevo,324,Miguel,48,CyberMonday,True,3,5,2023-01-29,36476.16,1
19521,23/11/2024,2024,11,Saturday,47,Disco Duro,Accesorios,-2,89,5,-169.1,42.07,52.73,Completado,Sevilla,Sur,PayPal,Tienda física,CLI1237,,334,Miguel,48,,True,4,15,fecha_invalida,error_acumulado,
61,2024-01-30,2024,1,Tuesday,5,RAM,Periféricos,100,210,6,19740.0,122.59,41.62,Pendiente,Valencia,Este,,Marketplace,CLI1045,Inactivo,173,Carlos,12,,True,5,5,2023-08-10,64465.2,1
62,07-04-2024,2024,7,Thursday,27,Webcam,Almacenamiento,64,783,16,42094.08,,,Cancelado,Sevilla,Sur,,App,CLI2584,Inactivo,9,Laura,24,,False,-1,9,2024-06-25,42094.08,1
63,2023-09-20,2023,9,Wednesday,38,Mouse,Almacenamiento,26,998,21,20498.920000000002,601.02,39.78,Envío,Madrid,Centro,PayPal,Web,CLI3435,Inactivo,331,Ana,36,Primavera,inválido,1,9,2022-10-24,20498.920000000002,1
64,2023-07-31,2023,7,Monday,31,RAM,Electrónica,62,$412.99,52,12290.5824,223.63,,,Madrid,Centro,Efectivo,Tienda física,CLI7316,Nuevo,65,Ana,36,Sin promoción,,1,8,2023-05-27,12290.5824,1
65,2023-05-21,2023,5,Sunday,20,Laptop,,49,813,19,-32267.97,457.92,43.68,,Barcelona,Noreste,Tarjeta,App,CLI1074,Regular,323,Carlos,12,BlackFriday,True,2,2,2022-07-02,error_acumulado,
66,2024-09-07,2024,9,Saturday,36,Teclado,Electrónica,3.610553613127008,1074,65,1357.2071031744422,567.58,47.15,PENDIENTE,Bilbao,Norte,Efectivo,Web,CLI4106,Inactivo,142,,,Primavera,,4,13,2024-04-18,2714.4142063488844,1
67,2024-01-10,2024,1,Wednesday,2,Teclado,Almacenamiento,72,347,9,22735.440000000002,143.37,58.68,Completado,Madrid,Centro,Transferencia,,CLI9477,VIP,256,,,,No,2,4,2023-04-29,22735.440000000002,1
68,2023-02-22,2023,2,Wednesday,8,Mouse,Periféricos,82,495,-8,43837.20€,219.93,55.57,Pendiente,Sevilla,Sur,,,CLI8097,,362,Sofia,6,BlackFriday,,4,12,2022-02-25,error_acumulado,
69,2023-01-10,2023,1,Tuesday,2,,Accesorios,27,722,51,9552.06,521.2723900898504,27.8,Envío,Barcelona,Noreste,Tarjeta,App,CLI8589,Nuevo,97,Ana,36,BlackFriday,Sí,1,15,2022-10-05,9552.06,2
70,26/02/2023,2023,2,Sunday,8,RAM,Electrónica,60,"1314,99",24,59963.543999999994,538.36,,Cancelado,,,,Marketplace,CLI7135,Inactivo,40,,,Sin promoción,,5,10,2023-01-17,59963.543999999994,1
71,2023-12-07,2023,12,Thursday,49,Impresora,Electrónica,79,1027,15,68963.05,688.78,32.93,Cancelado,Sevilla,Sur,,,CLI1311,VIP,322,Sofia,6,Sin promoción,,2,7,2023-01-19,68963.05,1
72,09-26-2024,2024,9,Thursday,39,Disco Duro,,-20,$873.99,62,-6642.324,413.0,,Completado,Barcelona,Noreste,,Tienda física,CLI8419,VIP,254,Sofia,6,BlackFriday,No,4,2,2024-01-16,error_acumulado,
73,2023-01-27,2023,1,Friday,4,USB,,6,1103,6,6220.92,632.67,42.64,Envío,Bilbao,Norte,,Marketplace,CLI4858,Inactivo,163,Ana,36,,False,2,5,2022-08-17,40155.079999999994,1
74,2024-10-14,2024,10,Monday,42,,,100,640,16,53760.0,343.53,46.32,,Bilbao,Norte,Efectivo,Tienda física,CLI2044,Nuevo,85,Carlos,-12,BlackFriday,No,3,13,2024-07-21,53760.0,1
75,2024-10-24,2024,10,Thursday,43,Teclado,,57,1120,11,56817.6,729.37,34.88,Cancelado,Valencia,Este,Efectivo,App,CLI2382,Nuevo,95,,,BlackFriday,Sí,2,14,fecha_invalida,56817.6,1
76,2024-08-16,2024,8,Friday,33,Monitor,Almacenamiento,13,1196,24,11816.48,667.38,-44.1989966555184,,,,Transferencia,Tienda física,CLI9588,Regular,171,Laura,24,Sin promoción,False,3,-4,2024-02-27,17516.16,1
77,2024-11-27,2024,11,Wednesday,48,USB,,93,242,6,21155.64,154.55,36.14,Completado,Valencia,Este,,Marketplace,CLI4334,Regular,65,Carlos,12,,Sí,4,1,2024-09-23,42311.28,1
78,2024-09-12,2024,9,Thursday,37,Mouse,Accesorios,82,886,23,-55942.04,514.11,41.97,Cancelado,Barcelona,Noreste,Tarjeta,Web,,Regular,94,Laura,24,Primavera,True,4,5,2024-06-10,error_acumulado,
79,2023-11-23,2023,11,Thursday,47,RAM,Electrónica,78,969,40,45349.2,655.09,32.4,Completado,Sevilla,Sur,Efectivo,App,CLI4688,VIP,277,Ana,36,CyberMonday,True,5,12,2023-02-19,45349.2,2
3041,19/02/2023,2023,2,Sunday,7,Impresora,Accesorios,,$1449.99,1,0.0,626.66,,Envío,Barcelona,Noreste,Tarjeta,Web,CLI1024,Nuevo,350,Miguel,48,,Sí,4,8,2022-03-06,error_acumulado,
81,2023-01-18,2023,1,Wednesday,3,RAM,Accesorios,54,606,4,,373.68,38.34,,Barcelona,Noreste,Tarjeta,Marketplace,CLI8869,Inactivo,359,Carlos,12,BlackFriday,Sí,4,4,2022-01-24,error_acumulado,
82,03-29-2024,2024,3,Friday,13,Mouse,Accesorios,36,690,11,22107.6,315.7,54.25,Pendiente,Bilbao,Norte,Transferencia,Tienda física,CLI1873,Nuevo,112,Ana,36,BlackFriday,True,2,9,2023-12-08,22107.6,1
83,2024-08-11,2024,8,Sunday,32,Monitor,Almacenamiento,39,32,36,798.72,16.6,48.12,Envío,Madrid,Centro,Transferencia,Marketplace,CLI7467,Nuevo,142,Carlos,12,CyberMonday,Sí,4,15,2024-03-22,18314.88,2
84,2023-04-28,2023,4,Friday,17,Impresora,Almacenamiento,-10,"1332,99",143,5731.856999999999,928.46,,,Sevilla,Sur,Transferencia,App,CLI1347,Inactivo,158,Miguel,48,Primavera,inválido,4,4,2022-11-21,5731.856999999999,1
85,2024-10-02,2024,10,Wednesday,40,USB,Periféricos,75,471,-4,36738.0,257.75,45.28,Pendiente,Madrid,Centro,Efectivo,Marketplace,CLI6331,Inactivo,16,Carlos,12,,True,2,9,2024-09-16,36738.0,1
86,2024-06-22,2024,6,Saturday,25,Teclado,Accesorios,43,293,28,9071.279999999999,150.69,48.57,Cancelado,Sevilla,Sur,Efectivo,Tienda física,CLI8579,Inactivo,121,Miguel,48,Sin promoción,No,3,11,2024-02-22,9071.279999999999,2
87,2023-04-17,2023,4,Monday,16,Mouse,Accesorios,11,1076,47,6273.08,438.86,59.21,Envío,Barcelona,Noreste,,App,CLI8153,Nuevo,247,,,Sin promoción,Sí,2,10,2022-08-13,0,1
88,2023-04-01,2023,4,Saturday,13,Laptop,,5.344527446503882,$740.99,32,2692.96414695774,506.16,,Completado,,,Transferencia,,CLI1333,Inactivo,340,Ana,36,CyberMonday,Sí,5,12,2022-04-26,5385.92829391548,1
89,2023-12-12,2023,12,Tuesday,50,Mouse,Periféricos,92,1385,68,40774.399999999994,823.21,40.56,,Madrid,Centro,PayPal,Marketplace,CLI3743,,231,,,Primavera,True,1,14,2023-04-25,77250.56,1
90,16/04/2023,2023,4,Sunday,15,Disco Duro,,5 unidades,1351,33,0.0,718.67,46.8,Pendiente,Madrid,Centro,,App,CLI9573,Nuevo,7,Carlos,12,BlackFriday,No,4,1,fecha_invalida,error_acumulado,
91,2023-11-23,2023,11,Thursday,47,Teclado,Accesorios,90,537,18,-39630.600000000006,227.14,57.7,Completado,Bilbao,Norte,Tarjeta,,CLI1680,Nuevo,353,Ana,36,BlackFriday,False,4,3,2022-12-05,error_acumulado,
92,07-05-2024,2024,7,Friday,27,Laptop,Electrónica,84,756,37,40007.52,532.8205092860645,29.52,Completado,Barcelona,Noreste,Tarjeta,Tienda física,CLI8921,Inactivo,50,Miguel,48,,False,1,1,2024-05-16,40007.52,1
93,2024-04-16,2024,4,Tuesday,16,Disco Duro,Electrónica,35,652,18,18712.4,,,,Bilbao,Norte,,Web,CLI4037,Inactivo,10,Sofia,6,Verano,True,-1,2,2024-04-06,18712.4,1
94,2023-11-08,2023,11,Wednesday,45,Webcam,Almacenamiento,50,61,20,2440.0,33.47,45.13,Pendiente,Sevilla,Sur,PayPal,,CLI2947,Regular,189,Sofia,6,Sin promoción,,5,8,2023-05-03,120245.8882,3
95,2024-09-16,2024,9,Monday,38,RAM,Periféricos,75,1424,4,102528.0,779.65,-45.24929775280899,Cancelado,,,,Web,CLI8433,Regular,145,Laura,24,BlackFriday,No,3,-5,2024-04-24,102528.0,1
96,2024-02-26,2024,2,Monday,9,,,-16,$1192.99,19,-15461.1504,618.0,,Envío,,,Transferencia,,CLI7714,Inactivo,63,Sofia,6,Sin promoción,No,2,12,2023-12-25,error_acumulado,
97,2024-09-20,2024,9,Friday,38,Teclado,Periféricos,30,183,12,4831.2,112.48,38.54,Cancelado,Valencia,Este,Transferencia,Marketplace,CLI1739,VIP,130,Miguel,48,Verano,True,3,15,2024-05-13,6188.407103174442,1
98,2024-03-25,2024,3,Monday,13,RAM,Electrónica,97,"967,99",6,88261.32819999999,448.87,,Envío,Valencia,Este,Transferencia,Web,CLI6646,Inactivo,52,Sofia,6,Primavera,Sí,3,1,2024-02-02,88261.32819999999,1
99,2023-12-15,2023,12,Friday,50,Webcam,,18,1057,41,11225.340000000002,571.84,45.9,PENDIENTE,Bilbao,Norte,PayPal,Tienda física,CLI5746,,325,Carlos,12,Verano,Sí,3,10,2023-01-24,266964.3,2
12359,18/08/2023,2023,8,Friday,33,Webcam,,65,168,13,9500.4,98.02,41.65,Cancelado,Barcelona,Noreste,Tarjeta,,CLI7175,Regular,38,,,BlackFriday,,1,7,2023-07-11,9500.4,2
101,2023-05-03,2023,5,Wednesday,18,Webcam,Periféricos,95,1494,0,141930.0,783.07,47.59,Cancelado,,,PayPal,Tienda física,CLI3273,VIP,141,Ana,36,,Sí,3,11,2022-12-13,141930.0,1
102,03-18-2024,2024,3,Monday,12,RAM,Electrónica,95,1391,-1,133466.45€,957.94,31.13,Completado,Madrid,Centro,Tarjeta,Tienda física,CLI3897,Nuevo,1,Laura,24,Sin promoción,False,5,1,2024-03-17,error_acumulado,
103,2024-10-14,2024,10,Monday,42,Disco Duro,,46,708,40,19540.8,335.53,52.61,Envío,Valencia,Este,Efectivo,Marketplace,CLI4753,VIP,258,Miguel,48,Sin promoción,False,1,15,2024-01-30,19540.8,2
104,2023-02-06,2023,2,Monday,6,USB,Almacenamiento,10,$86.99,61,-339.261,47.59,,,Valencia,Este,Transferencia,,,VIP,312,Sofia,6,BlackFriday,False,3,13,2022-03-31,error_acumulado,
105,2024-01-12,2024,1,Friday,2,Mouse,,82,358,58,12329.52,171.82,52.01,Cancelado,Madrid,Centro,,Tienda física,CLI4082,Regular,111,,,CyberMonday,inválido,2,9,fecha_invalida,12329.52,2
106,2024-08-17,2024,8,Saturday,33,USB,Accesorios,52,1388,3,70010.72,844.74,39.14,Envío,Madrid,Centro,PayPal,Web,CLI1802,Nuevo,109,Ana,36,Verano,False,1,2,2024-04-30,88780.90400000001,1
107,2024-04-11,2024,4,Thursday,15,RAM,Almacenamiento,1,99,36,63.36,64.86,34.48,Cancelado,Sevilla,Sur,Tarjeta,Marketplace,CLI7562,,288,Miguel,48,Primavera,No,5,2,2023-06-28,63.36,2
108,2024-11-30,2024,11,Saturday,48,Disco Duro,Periféricos,-12,875,53,,495.18,43.41,Pendiente,Sevilla,Sur,Efectivo,App,CLI2141,,279,Sofia,6,Sin promoción,False,1,6,2024-02-25,error_acumulado,
109,2024-12-18,2024,12,Wednesday,51,Monitor,Almacenamiento,17,1137,17,16043.07,690.45,39.27,Pendiente,Sevilla,Sur,Transferencia,,CLI1224,,60,Carlos,12,,Sí,1,7,2024-10-19,16043.07,1
110,10/03/2024,2024,3,Sunday,10,RAM,,2.7675224301861774,330,26,675.8289774514644,164.8,50.06,Completado,Bilb@o,Norte,,,CLI4868,VIP,226,Sofia,6,Sin promoción,True,3,1,2023-07-28,177874.31435490292,1
111,2024-11-23,2024,11,Saturday,47,Mouse,Accesorios,68,928,34,41648.63999999999,587.67,36.67,Envío,,,Transferencia,Web,CLI2900,Regular,241,Ana,-36,Sin promoción,False,1,8,2024-03-27,41648.63999999999,1
112,01-16-2024,2024,1,Tuesday,3,,Periféricos,17,$1355.99,191,-20977.1653,783.42,,Cancelado,,,PayPal,Marketplace,CLI2740,Nuevo,53,Ana,36,BlackFriday,False,4,8,2023-11-24,error_acumulado,
113,2024-06-26,2024,6,Wednesday,26,Disco Duro,Electrónica,40,858,9,31231.2,411.45,52.05,Completado,Barcelona,Noreste,Tarjeta,Marketplace,CLI1033,Nuevo,353,Laura,24,Sin promoción,False,2,3,2023-07-09,34119.6,1
114,2024-04-11,2024,4,Thursday,15,,,10,404,26,2989.6,240.45,-40.48267326732674,,Valencia,Este,PayPal,,CLI9813,Nuevo,325,Laura,24,,No,3,-2,2023-05-22,73411.115,1
115,2023-06-19,2023,6,Monday,25,Teclado,Electrónica,91,1316,33,80236.51999999999,1148.2540669057578,12.75,,Sevilla,Sur,Transferencia,App,CLI4633,Regular,317,Laura,24,Primavera,Sí,4,7,2022-08-06,80921.77999999998,1
